"","source","target","weight"
"1","tell","mani",1
"2","mani","time",1
"3","color","soldier",1
"4","emancip","proclam",1
"5","proclam","negro",1
"6","survei","let",1
"7","love","america",1
"8","citizen","equal",1
"9","white","citizen",1
"10","tell","time",1
"11","fight","war",1
"12","right","privileg",1
"13","privileg","white",1
"14","care","see",1
"15","promis","negro",1
"16","emancip","negro",1
"17","privileg","fight",1
"18","let","hope",1
"19","fight","america",1
"20","demand","statu",1
"21","exampl","democraci",1
"22","democraci","us",1
"23","time","fight",1
"24","soldier","discrimin",1
"25","discrimin","segreg",1
"26","mani","promis",1
"27","negro","keep",1
"28","negro","fight",1
"29","right","privileg",1
"30","conclus","draw",1
"31","draw","survei",1
"32","survei","hope",1
"33","advantag","negro",1
"34","negro","love",1
"35","america","fight",1
"36","america","negro",1
"37","statu","citizen",1
"38","wai","exampl",1
"39","us","countri",1
"40","mani","fight",1
"41","democraci","right",1
"42","right","white",1
"43","white","color",1
"44","color","discrimin",1
"45","civilian","evid",1
"46","evid","care",1
"47","see","mani",1
"48","keep","emancip",1
"49","proclam","fight",1
"50","fight","conclus",1
"51","draw","let",1
"52","negro","america",1
"53","love","fight",1
"54","negro","demand",1
"55","statu","equal",1
"56","citizen","wai",1
"57","exampl","us",1
"58","like","armi",1
"59","thing","fight",1
"60","side","think",1
"61","think","thing",1
"62","fight","white",1
"63","white","peopl",2
"64","negro","soldier",2
"65","win","war",2
"66","peopl","put",1
"67","color","peopl",1
"68","last","war",1
"69","color","soldier",1
"70","soldier","take",1
"71","take","part",1
"72","continu","kill",1
"73","soldier","think",1
"74","manpow","need",1
"75","white","put",1
"76","put","color",1
"77","war","color",1
"78","war","white",1
"79","peopl","south",1
"80","realiz","negro",1
"81","negro","take",1
"82","part","war",1
"83","kill","negro",1
"84","negro","think",1
"85","peopl","color",1
"86","put","peopl",1
"87","peopl","impress",1
"88","last","color",1
"89","war","soldier",1
"90","soldier","ac",1
"91","ac","hole",1
"92","war","peopl",1
"93","white","south",1
"94","south","realiz",1
"95","realiz","soldier",1
"96","soldier","part",1
"97","war","continu",1
"98","kill","soldier",1
"99","need","white",1
"100","white","color",1
"101","peopl","peopl",1
"102","color","impress",1
"103","impress","win",1
"104","know","foolish",1
"105","last","soldier",1
"106","color","ac",1
"107","white","soldier",1
"108","soldier","travel",1
"109","brotherhood","consurn",1
"110","right","white",1
"111","white","travel",1
"112","travel","town",1
"113","town","white",1
"114","right","soldier",1
"115","whole","caus",1
"116","natur","choos",1
"117","questionnair","give",1
"118","opportun","express",1
"119","express","view",1
"120","believ","whole",1
"121","lack","intellig",1
"122","intellig","understand",1
