"","doc_id","term1","term2","cooc"
"1","6","busis","available",1
"2","6","amount","busis",1
"3","6","amount","available",1
"4","9","good","questionnaire",1
"5","9","current","situation",1
"6","9","questionnaire","cover",1
"7","9","cover","current",1
"8","9","situation","good",1
"9","9","good","cover",1
"10","9","cover","situation",1
"11","9","current","good",1
"12","9","questionnaire","current",1
"13","11","maney","question",1
"14","11","rest","alright",1
"15","11","last","rest",1
"16","12","excellent","idea",1
"17","12","think","idea",1
"18","12","idea","question",1
"19","12","question","soldier",1
"20","12","think","question",1
"21","12","idea","soldier",1
"22","13","right","take",1
"23","13","kind","work",1
"24","13","work","want",1
"25","13","soldier","right",1
"26","13","take","kind",1
"27","13","want","army",1
"28","13","kind","want",1
"29","14","good","thing",1
"30","14","higher","authority",1
"31","14","authority","get",1
"32","14","thing","higher",1
"33","14","higher","get",1
"34","14","get","action",1
"35","14","good","higher",1
"36","14","thing","authority",1
"37","14","authority","action",1
"38","14","action","problem",1
"39","14","good","authority",1
"40","14","thing","get",1
"41","14","higher","action",1
"42","15","get","finished",1
"43","15","think","check",1
"44","15","check","get",1
"45","15","finished","check",1
"46","15","check","finished",1
"47","15","get","check",1
"48","15","check","feel",1
"49","16","big","drive",1
"50","16","war","end",1
"51","16","start","germany",1
"52","16","germany","strong",1
"53","16","drive","start",1
"54","17","stay","war",1
"55","17","war","like",1
"56","17","chance","truck",1
"57","17","like","chance",1
"58","19","various","branch",1
"59","19","broader","training",1
"60","19","radio","operators",1
"61","19","field","artillery",1
"62","19","think","type",1
"63","19","type","service",1
"64","19","branch","service",1
"65","19","service","various",1
"66","19","various","service",1
"67","19","training","work",1
"68","19","work","radio",1
"69","19","operators","field",1
"70","19","think","service",1
"71","19","service","branch",1
"72","19","service","broader",1
"73","19","broader","work",1
"74","19","work","operators",1
"75","19","radio","field",1
"76","19","operators","artillery",1
"77","20","question","ask",1
"78","20","give","good",1
"79","20","good","idea",1
"80","20","soldier","feel",1
"81","20","ask","give",1
"82","20","give","idea",1
"83","20","question","give",1
"84","20","ask","good",1
"85","20","feel","whole",1
"86","20","question","good",1
"87","20","ask","idea",1
"88","20","idea","soldier",1
"89","20","soldier","whole",1
"90","21","much","goat",1
"91","21","mention","food",1
"92","21","food","questionnaire",1
"93","21","questionnaire","opinion",1
"94","21","lousy","much",1
"95","21","lousy","goat",1
"96","22","include","officer",1
"97","22","enlist","man",1
"98","22","reference","question",1
"99","22","officer","noncom",1
"100","22","come","alive",1
"101","22","alive","send",1
"102","22","send","combat",1
"103","22","thing","say",1
"104","22","include","noncom",1
"105","22","noncom","enlist",1
"106","22","man","know",1
"107","22","combat","company",1
"108","22","know","heck",1
"109","22","heck","thing",1
"110","22","noncom","man",1
"111","22","enlist","know",1
"112","22","know","come",1
"113","22","come","send",1
"114","22","alive","combat",1
"115","23","many","deserter",1
"116","23","mean","strike",1
"117","23","let","get",1
"118","23","get","done",1
"119","23","done","prosecut",1
"120","23","prosecut","war",1
"121","23","draft","dodger",1
"122","23","strike","outlaw",1
"123","23","outlaw","duration",1
"124","23","duration","food",1
"125","23","food","poorest",1
"126","23","let","done",1
"127","23","get","prosecut",1
"128","23","done","war",1
"129","23","mean","outlaw",1
"130","23","time","induct",1
"131","24","give","freedom",1
"132","24","keep","america",1
"133","24","help","great",1
"134","24","great","britain",1
"135","24","roosevelt","think",1
"136","24","lesson","come",1
"137","24","white","fighting",1
"138","24","fighting","christian",1
"139","24","christian","country",1
"140","24","least","government",1
"141","24","best","government",1
"142","24","fight","give",1
"143","24","world","freedom",1
"144","24","value","take",1
"145","24","fight","keep",1
"146","24","america","top",1
"147","24","help","britain",1
"148","24","flood","country",1
"149","24","white","christian",1
"150","24","fighting","country",1
"151","24","intend","keep",1
"152","24","earn","freedom",1
"153","24","freedom","help",1
"154","24","lie","hand",1
"155","24","fight","freedom",1
"156","24","freedom","world",1
"157","24","take","gift",1
"158","24","fight","america",1
"159","24","keep","top",1
"160","24","top","help",1
"161","24","britain","roosevelt",1
"162","24","country","scum",1
"163","24","scum","world",1
"164","24","world","war",1
"165","24","white","country",1
"166","24","country","intend",1
"167","24","keep","way",1
"168","24","way","earn",1
"169","24","government","best",1
"170","24","give","world",1
"171","24","gift","fight",1
"172","24","top","great",1
"173","24","great","roosevelt",1
"174","24","britain","think",1
"175","24","war","lesson",1
"176","24","christian","intend",1
"177","24","earn","help",1
