source,target,weight,racial_group
negro,like,8,black
intercours,with,4,black
like,negro,4,black
wife,mother,4,black
coloredsoldi,like,3,black
like,brother,3,black
with,wife,3,black
35,wife,2,black
colorman,like,2,black
like,white,2,black
marri,life,2,black
mother,fuck,2,black
soldier,wife,2,black
wife,sick,2,black
woman,enter,2,black
american,negrowoman,1,black
babi,girl,1,black
bu,woman,1,black
child,wife,1,black
civilian,woman,1,black
clean,girl,1,black
col,woman,1,black
colod,girl,1,black
dear,wife,1,black
father,wife,1,black
girl,join,1,black
girlfriend,close,1,black
graduat,negrowoman,1,black
holler,rape,1,black
intend,wife,1,black
interraci,marriag,1,black
like,coloredsoldi,1,black
like,colorwoman,1,black
like,negroboi,1,black
like,negrosoldi,1,black
marri,offici,1,black
marriag,certif,1,black
meet,whitewoman,1,black
mother,65,1,black
mother,camp,1,black
mother,dad,1,black
mother,far,1,black
mother,sister,1,black
mother,tell,1,black
mother,wife,1,black
negrosoldi,like,1,black
negrowoman,attain,1,black
punish,marri,1,black
reasent,marri,1,black
sea,marri,1,black
sex,associ,1,black
sister,70,1,black
sister,brother,1,black
take,marri,1,black
transfer,marri,1,black
whip,colorwoman,1,black
white,girlfriend,1,black
whiteboi,girl,1,black
whiteman,like,1,black
whitewoman,holler,1,black
whitewoman,immediatli,1,black
whitewoman,withour,1,black
wife,aint,1,black
wife,leav,1,black
wife,live,1,black
wife,refus,1,black
wife,secur,1,black
wife,sickli,1,black
wife,sister,1,black
wife,sweetheart,1,black
with,whitewoman,1,black
woman,eaven,1,black
woman,insult,1,black
woman,qualifi,1,black
like,negro,7,white
marri,woman,2,white
soildier,wife,2,white
whitewoman,marri,2,white
ag,mother,1,white
armi,wife,1,white
blond,woman,1,white
boi,mother,1,white
brother,sister,1,white
civ,woman,1,white
engag,with,1,white
girl,walk,1,white
kid,wife,1,white
like,brother,1,white
marri,armi,1,white
marri,life,1,white
marri,live,1,white
marri,negro,1,white
marri,soldier,1,white
mother,dad,1,white
negro,like,1,white
offic,wife,1,white
respect,girl,1,white
send,marri,1,white
sex,intercours,1,white
sister,depend,1,white
white,like,1,white
whiteman,marri,1,white
wife,allot,1,white
wife,babi,1,white
wife,compar,1,white
wife,die,1,white
wife,expect,1,white
wife,major,1,white
wife,set,1,white
woman,auxiliari,1,white
woman,child,1,white
woman,offic,1,white
woman,remain,1,white
woman,respons,1,white
woman,waac,1,white
woman,worker,1,white
