long,racial_group,index,unclear,correct
why is it that the negro dont have the the [unclear]arites[/unclear] as the white soldier in traveling around in towns as the white when they all are just the same so far as brotherhood is consurn,black,4,[unclear]arites[/unclear],rights
i would like to all negro lt i believe [unclear]wyl [/unclear]will be treated better,black,52,[unclear]wyl [/unclear],while
"the only thing i'm waiting for is [unclear]duration[/unclear] and 6 mos.[months]  this survey is a good thing, but as usual any thing concerning a negro is never looked into as it should- so this seems like a waste of time.  every thing i said is my opinion only if i could come true i might like the army",black,55,[unclear]duration[/unclear],duration
i don't think that it should make any difence between the human race the negro are as good as the and the white are the same tea ll are fighting for the same causes negroes should be treated the same  as thier   nigro soldies are treated very  from the north  neather have i argud officers then write  from the negro  be treated but  should be treated like white peaples after all [unclear][/unclear[unclear]][/unclear] at stake as will at the white man that is my idear,black,73,[unclear][/unclear[unclear]][/unclear],
well we dont to fight. but we have to fight and we work hard to fight. i would [unclear]like[/unclear] to be in all negro outfit and no white at all we [unclear]like[/unclear] and we cant i due to part well i don't like the army at all,black,75,[unclear]like[/unclear],like
well we dont to fight. but we have to fight and we work hard to fight. i would [unclear]like[/unclear] to be in all negro outfit and no white at all we [unclear]like[/unclear] and we cant i due to part well i don't like the army at all,black,75,[unclear]like[/unclear],like
my only comment is that the negro and the white [unclear]race[/unclear] be on the same base one for all and all for one.,black,112,[unclear]race[/unclear],race
i dont like this camp here for i cannot stand this[unclear]calm[/unclear],black,114,[unclear]calm[/unclear],calm
when we speak of america we dont think of color. i my self as an american born negro is a believer in the doctoring of the great president a lincoln. a government for its people by its people shall not perish from this earth. 76  when you have people of two or more [unclear] colors [/unclear] it create fricton it wont work the average negro is happy as it is.,black,118,[unclear] colors [/unclear],colors
you didn't have any thing about the [unclear]east[/unclear] on no. 12 so i put east down,black,122,[unclear]east[/unclear],east
the [unclear]powers[/unclear] given to 1st sgt [sergeant] should be definitely stated on paper. the privelige of speaking to the c.o. [commanding officer] should not be denied the soldiers by 1st sgt.i think that [unclear]gov[/unclear] [government] should pay allotments as the money is taken out of monthly pay.this camp is too far from civilization.negro soldiers are not trained properly. they are not issued enough practice ammunition.,black,126,[unclear]powers[/unclear],powers
the [unclear]powers[/unclear] given to 1st sgt [sergeant] should be definitely stated on paper. the privelige of speaking to the c.o. [commanding officer] should not be denied the soldiers by 1st sgt.i think that [unclear]gov[/unclear] [government] should pay allotments as the money is taken out of monthly pay.this camp is too far from civilization.negro soldiers are not trained properly. they are not issued enough practice ammunition.,black,126,[unclear]gov[/unclear],government
we will be glad when the war is ending so we can get back free a [unclear]agane[/unclear],black,131,[unclear]agane[/unclear],again
it too [unclear]bad[/unclear] it [unclear]hapend[/unclear]  a war every twenty years  [unclear]but[/unclear] i gess it  right  i hope this will be the last war  as far as my [unclear]consurn[/unclear]  i hope thing will be better after the war do you think it right for me to fight in this war  will maybe i will have a better break after the war i hope  i hope this war will soon be over  we could hury and go home and get mary,black,132,[unclear]bad[/unclear],bad
it too [unclear]bad[/unclear] it [unclear]hapend[/unclear]  a war every twenty years  [unclear]but[/unclear] i gess it  right  i hope this will be the last war  as far as my [unclear]consurn[/unclear]  i hope thing will be better after the war do you think it right for me to fight in this war  will maybe i will have a better break after the war i hope  i hope this war will soon be over  we could hury and go home and get mary,black,132,[unclear]hapend[/unclear],happened
it too [unclear]bad[/unclear] it [unclear]hapend[/unclear]  a war every twenty years  [unclear]but[/unclear] i gess it  right  i hope this will be the last war  as far as my [unclear]consurn[/unclear]  i hope thing will be better after the war do you think it right for me to fight in this war  will maybe i will have a better break after the war i hope  i hope this war will soon be over  we could hury and go home and get mary,black,132,[unclear]but[/unclear],but
it too [unclear]bad[/unclear] it [unclear]hapend[/unclear]  a war every twenty years  [unclear]but[/unclear] i gess it  right  i hope this will be the last war  as far as my [unclear]consurn[/unclear]  i hope thing will be better after the war do you think it right for me to fight in this war  will maybe i will have a better break after the war i hope  i hope this war will soon be over  we could hury and go home and get mary,black,132,[unclear]consurn[/unclear],concern
i am very sorrow i cant put my name say i am a pvt [private] in the us army and i find no comments about the army only i am from the south and i [unclear]have[/unclear] my wife and kid up here with me and what i dont like is that some of the men can get passes good at all time and some cant. well here is what i think about it a man is a man a woman is a woman and one [unclear]should[/unclear] be aloud [allowed] no more than the other. they told me the first three grade are the only one to [unclear]get[/unclear] them. but that a lie because i no [know] better. i hope some one looking in to this pleas [please].hope to talk face to face with one of you some day soon[.] wish i cod [could] write name.,black,145,[unclear]have[/unclear],have
i am very sorrow i cant put my name say i am a pvt [private] in the us army and i find no comments about the army only i am from the south and i [unclear]have[/unclear] my wife and kid up here with me and what i dont like is that some of the men can get passes good at all time and some cant. well here is what i think about it a man is a man a woman is a woman and one [unclear]should[/unclear] be aloud [allowed] no more than the other. they told me the first three grade are the only one to [unclear]get[/unclear] them. but that a lie because i no [know] better. i hope some one looking in to this pleas [please].hope to talk face to face with one of you some day soon[.] wish i cod [could] write name.,black,145,[unclear]should[/unclear],should
i am very sorrow i cant put my name say i am a pvt [private] in the us army and i find no comments about the army only i am from the south and i [unclear]have[/unclear] my wife and kid up here with me and what i dont like is that some of the men can get passes good at all time and some cant. well here is what i think about it a man is a man a woman is a woman and one [unclear]should[/unclear] be aloud [allowed] no more than the other. they told me the first three grade are the only one to [unclear]get[/unclear] them. but that a lie because i no [know] better. i hope some one looking in to this pleas [please].hope to talk face to face with one of you some day soon[.] wish i cod [could] write name.,black,145,[unclear]get[/unclear],get
"i am a [unclear]mechanic[/unclear] i work on trucks and cars i like that and that is what is in me, i am a mortar man now but i don't want to be one i want to be a [unclear]mechanic[/unclear] and work on cars and truck",black,165,[unclear]mechanic[/unclear],mechanic
