id,word
1,mother
2,negrowoman
3,whitewoman
4,wife
5,sister
6,girl
7,woman
8,father
9,child
10,marri
11,negroman
12,mich
13,cry
14,babi
15,brother
16,armyexchang
17,milk
18,home
19,flyer
20,far
21,allot
22,kid
23,daughter
24,kitchen
25,support
26,associ
27,molest
28,65
29,worri
30,gather
31,tuskege
32,everydai
33,sever
34,attack
35,doe
36,shore
37,hire
38,join
39,dose
40,tend
41,custer
42,clock
43,iron
44,immedi
45,board
46,bitch
47,hesit
48,p.
49,son
50,american
51,farmer
52,upset
53,ten
54,hors
55,attain
56,qualiti
57,bless
58,luck
59,danc
60,26
61,freedom
62,spirit
63,10
64,firm
65,famili
66,specialist
67,corpor
68,affect
69,mine
70,industri
71,spot
72,music
73,draft
74,greatli
75,manpow
76,satisfactori
77,keep
78,crowd
79,bright
80,maintain
81,entir
82,shortag
83,law
84,dollar
85,space
86,graduat
87,brain
88,observ
89,econom
90,effect
91,folk
92,theater
93,intend
94,sure
95,develop
96,caus
97,plan
98,9
99,take
