"","doc_id","lemma"
"4","1","tell"
"5","1","many"
"6","1","time"
"9","1","fight"
"11","1","war"
"17","1","democracy"
"21","1","rights"
"23","1","privileges"
"25","1","whites"
"29","1","colored"
"30","1","soldier"
"33","1","discriminate"
"36","1","segregate"
"44","1","civilian"
"48","1","evident"
"52","1","care"
"54","1","see"
"58","1","many"
"61","1","promise"
"63","1","negro"
"66","1","keep"
"70","1","emancipation"
"71","1","proclamation"
"72","1","negro"
"75","1","fight"
"83","1","right"
"86","1","privilege"
"88","1","fight"
"92","1","conclusion"
"95","1","draw"
"98","1","survey"
"99","1","let"
"101","1","hope"
"106","1","advantage"
"109","1","negro"
"112","1","love"
"113","1","america"
"116","1","fight"
"118","1","america"
"121","1","negro"
"125","1","demand"
"127","1","status"
"130","1","citizen"
"131","1","equal"
"136","1","white"
"137","1","citizen"
"141","1","way"
"144","1","example"
"146","1","democracy"
"148","1","use"
"151","1","country"
"156","2","like"
"158","2","army"
"167","2","side"
"171","2","think"
"175","2","thing"
"177","2","fight"
"181","2","white"
"186","2","privedlage"
"192","2","fighting"
"194","3","think"
"200","3","win"
"202","3","war"
"205","3","white"
"206","3","people"
"209","3","south"
"213","3","realize"
"216","3","negro"
"217","3","soldier"
"219","3","take"
"221","3","part"
"224","3","war"
"228","3","continue"
"230","3","kill"
"233","3","negro"
"234","3","soldier"
"236","3","think"
"241","3","war"
"247","3","manpower"
"249","3","need"
"253","3","white"
"254","3","people"
"255","3","put"
"257","3","colored"
"258","3","people"
"261","3","impression"
"265","3","win"
"267","3","war"
"273","3","know"
"277","3","foolish"
"282","3","last"
"283","3","war"
"285","3","color"
"286","3","soldier"
"289","3","ace"
"292","3","hole"
"298","4","negro"
"304","4","rights"
"307","4","white"
"308","4","soldier"
"310","4","travel"
"313","4","town"
"316","4","white"
"327","4","brotherhood"
"329","4","consurn"
"332","5","approve"
"335","5","questionnaire"
"337","5","give"
"340","5","opportunity"
"342","5","express"
"344","5","view"
"348","5","believe"
"350","5","whole"
"351","5","cause"
"356","5","lack"
"358","5","intelligence"
"360","5","understanding"
"362","5","avoid"
"364","5","problem"
"366","5","remedy"
"376","5","color"
"378","5","supreme"
"381","5","nature"
"382","5","choose"
"384","5","make"
"388","5","man"
"392","5","man"
"394","5","spirit"
"396","5","body"
"400","5","blood"
"404","5","grant"
"409","5","human"
"412","5","realize"
"414","5","fact"
"416","5","thanks"
"420","5","opportunity"
"424","6","let"
"425","6","stick"
"428","6","beat"
"430","6","axis"
"434","6","possible"
"438","6","get"
"441","6","normal"
"442","6","living"
"446","6","problem"
"447","6","concern"
"450","6","white"
"451","6","rights"
"454","6","thrash"
"457","6","congress"
"459","6","represan"
"461","6","tation"
"464","6","races"
"465","6","present"
"468","7","army"
"474","7","send"
"479","7","morning"
"482","7","wish"
"488","8","like"
"492","8","o.c."
"498","8","give"
"501","8","chance"
"508","8","t't"
"509","8","know"
"517","8","edc."
"522","8","white"
"523","8","officer"
"528","8","south"
"530","8","hell"
"532","8","negro"
"533","8","soldier"
"538","8","show"
"543","8","day"
"545","8","sat."
"547","8","get"
"549","8","bus"
"551","8","town"
"555","8","slow"
"560","9","negro"
"564","9","surprised"
"568","9","end"
"571","9","war"
"578","9","south"
"580","9","allow"
"582","9","vote"
"585","9","country"
"589","9","sacrifice"
"592","9","much"
"595","9","whites"
"600","9","hope"
"605","9","give"
"607","9","chance"
"609","9","compete"
"612","9","whites"
"616","9","qualified"
"618","9","industrial"
"619","9","job"
"623","9","qualified"
"629","9","glad"
"632","9","day"
"633","9","come"
"636","9","soldier"
"639","9","armed"
"640","9","force"
"643","9","u.s."
"645","9","allow"
"647","9","black"
"651","9","travel"
"654","9","style"
"656","9","finances"
"658","9","pay"
"662","9","part"
"665","9","country"
"669","9","war"
"670","9","end"
"673","9","want"
"676","9","able"
"682","9","take"
"684","9","place"
"686","9","society"
"692","9","high"
"696","9","southern"
"697","9","gentleman"
"701","9","segregate"
"703","9","abuse"
"706","9","ignorant"
"707","9","southern"
"708","9","white"
"712","9","naval"
"713","9","cadet"
"716","9","judge"
"718","9","promote"
"720","9","merit"
"723","9","shade"
"725","9","color"
"728","9","give"
"731","9","training"
"733","9","allow"
"739","9","thing"
"742","9","white"
"743","9","sailor"
"747","9","capable"
"749","9","handle"
"752","9","situation"
"755","9","whites"
"759","9","training"
"770","10","get"
"772","10","say"
"776","10","thing"
"781","10","glad"
"783","10","whe"
"785","10","whuld"
"790","11","question"
"793","11","see"
"795","11","good"
"808","11","space"
"812","11","mark"
"813","11","undecided"
"818","11","wan"
"820","11","sure"
"823","11","know"
"827","12","hope"
"828","12","answer"
"830","12","help"
"832","12","find"
"837","12","want"
"839","12","know"
"841","13","think"
"845","13","win"
"847","13","war"
"849","14","think"
"851","14","questionnaire"
"853","14","make"
"855","14","complete"
"857","14","sufficient"
"864","14","thing"
"869","14","many"
"875","14","leave"
"877","14","last"
"878","14","camp"
"880","14","come"
"883","14","place"
"887","14","tell"
"894","14","follow"
"898","14","month"
"900","14","service"
"906","14","get"
"908","14","day"
"911","14","month"
"918","14","evacuate"
"927","14","u.s."
"932","14","fighting"
"937","14","grant"
"939","14","privilege"
"941","14","see"
"943","14","people"
"954","14","many"
"958","14","fortunate"
"960","14","return"
"966","14","able"
"968","14","abide"
"971","14","people"
"982","14","training"
"985","15","think"
"987","15","questionnaire"
"990","15","good"
"991","15","idea"
"993","15","give"
"996","15","opportunity"
"998","15","express"
"1002","15","let"
"1004","15","war"
